id,unix_timestamp,bpm,rr
1,1478075395,66.0,909.091
1,1478075397,67.0,895.522
1,1478075400,68.0,882.353
1,1478075405,69.0,869.565
1,1478075406,71.0,845.07
1,1478075409,72.0,833.333
1,1478075417,73.0,821.918
1,1478075426,72.0,833.333
1,1478075427,71.0,845.07
1,1478075428,69.0,869.565
1,1478075433,70.0,857.143
1,1478075434,71.0,845.07
1,1478075440,70.0,857.143
1,1478075448,69.0,869.565
1,1478075449,68.0,882.353
1,1478075469,67.0,895.522
1,1478075482,68.0,882.353
1,1478075487,69.0,869.565
1,1478075496,70.0,857.143
1,1478075497,71.0,845.07
1,1478075498,72.0,833.333
1,1478075499,73.0,821.918
1,1478075500,74.0,810.811
1,1478075511,78.0,769.231
1,1478075512,79.0,759.494
1,1478075516,80.0,750.0
1,1478075519,79.0,759.494
1,1478075520,77.0,779.221
1,1478075521,76.0,789.474
1,1478075523,75.0,800.0
1,1478075528,74.0,810.811
1,1478075532,73.0,821.918
1,1478075534,72.0,833.333
1,1478075542,71.0,845.07
1,1478075543,70.0,857.143
1,1478075544,69.0,869.565
1,1478075550,70.0,857.143
1,1478075553,71.0,845.07
1,1478075565,72.0,833.333
1,1478075569,73.0,821.918
1,1478075571,74.0,810.811
1,1478075576,73.0,821.918
1,1478075578,72.0,833.333
1,1478075582,71.0,845.07
1,1478075586,70.0,857.143
1,1478075591,69.0,869.565
1,1478075595,68.0,882.353
1,1478075597,67.0,895.522
1,1478075601,68.0,882.353
1,1478075602,69.0,869.565
1,1478075603,70.0,857.143
1,1478075604,72.0,833.333
1,1478075605,73.0,821.918
1,1478075609,72.0,833.333
1,1478075617,71.0,845.07
1,1478075618,70.0,857.143
1,1478075619,69.0,869.565
1,1478075620,68.0,882.353
1,1478075626,69.0,869.565
1,1478075627,70.0,857.143
1,1478075629,71.0,845.07
1,1478075630,74.0,810.811
1,1478075631,75.0,800.0
1,1478075632,76.0,789.474
1,1478075633,77.0,779.221
1,1478075634,78.0,769.231
1,1478075635,79.0,759.494
1,1478075636,80.0,750.0
1,1478075637,81.0,740.741
1,1478075639,82.0,731.707
1,1478075642,81.0,740.741
1,1478075643,79.0,759.494
1,1478075644,78.0,769.231
1,1478075646,73.0,821.918
1,1478075647,68.0,882.353
1,1478075648,67.0,895.522
1,1478075649,66.0,909.091
1,1478075650,65.0,923.077
1,1478075652,64.0,937.5
1,1478075653,63.0,952.381
1,1478075656,62.0,967.742
1,1478075660,63.0,952.381
1,1478075662,64.0,937.5
1,1478075664,65.0,923.077
1,1478075666,64.0,937.5
1,1478075670,63.0,952.381
1,1478075679,66.0,909.091
1,1478075680,67.0,895.522
1,1478075682,66.0,909.091
1,1478075690,67.0,895.522
1,1478075692,68.0,882.353
1,1478075693,67.0,895.522
1,1478075694,66.0,909.091
1,1478075695,65.0,923.077
1,1478075696,63.0,952.381
1,1478075702,64.0,937.5
1,1478075705,65.0,923.077
1,1478075709,64.0,937.5
1,1478075716,65.0,923.077
1,1478075719,66.0,909.091
1,1478075720,65.0,923.077
1,1478075722,64.0,937.5
1,1478075723,63.0,952.381
1,1478075724,62.0,967.742
1,1478075726,61.0,983.607
1,1478075728,62.0,967.742
1,1478075730,63.0,952.381
1,1478075731,64.0,937.5
1,1478075733,65.0,923.077
1,1478075734,66.0,909.091
1,1478075737,67.0,895.522
1,1478075741,66.0,909.091
1,1478075743,65.0,923.077
1,1478075744,64.0,937.5
1,1478075746,65.0,923.077
1,1478075748,66.0,909.091
1,1478075750,67.0,895.522
1,1478075752,68.0,882.353
1,1478075756,66.0,909.091
1,1478075757,65.0,923.077
1,1478075758,64.0,937.5
1,1478075759,63.0,952.381
1,1478075761,62.0,967.742
1,1478075763,63.0,952.381
1,1478075765,64.0,937.5
1,1478075768,65.0,923.077
1,1478075771,67.0,895.522
1,1478075772,68.0,882.353
1,1478075778,67.0,895.522
1,1478075783,68.0,882.353
1,1478075786,67.0,895.522
1,1478075787,66.0,909.091
1,1478075788,65.0,923.077
1,1478075789,63.0,952.381
1,1478075790,62.0,967.742
1,1478075810,71.0,845.07
1,1478075812,73.0,821.918
1,1478075814,75.0,800.0
1,1478075817,74.0,810.811
1,1478075820,72.0,833.333
1,1478075821,70.0,857.143
1,1478075823,69.0,869.565
1,1478075825,68.0,882.353
1,1478075828,67.0,895.522
1,1478075834,66.0,909.091
1,1478075842,67.0,895.522
1,1478075846,69.0,869.565
1,1478075847,70.0,857.143
1,1478075851,69.0,869.565
1,1478075853,68.0,882.353
1,1478075854,67.0,895.522
1,1478075856,66.0,909.091
1,1478075858,67.0,895.522
1,1478075861,68.0,882.353
1,1478075868,69.0,869.565
1,1478075870,68.0,882.353
1,1478075872,67.0,895.522
1,1478075875,68.0,882.353
1,1478075884,67.0,895.522
1,1478075887,65.0,923.077
